"","per_game.Season","per_game.Age","per_game.Tm","per_game.Lg","per_game.Pos","per_game.G","per_game.GS","per_game.MP","per_game.FG","per_game.FGA","per_game.FG.","per_game.3P","per_game.3PA","per_game.3P.","per_game.2P","per_game.2PA","per_game.2P.","per_game.eFG.","per_game.FT","per_game.FTA","per_game.FT.","per_game.ORB","per_game.DRB","per_game.TRB","per_game.AST","per_game.STL","per_game.BLK","per_game.TOV","per_game.PF","per_game.PTS","player_id"
"1","2013-14","20","OKC","NBA","C","81","20","14.8","1.1","2.3",".503","0.0","0.0","","1.1","2.3",".503",".503","1.0","1.7",".581","1.8","2.3","4.1","0.5","0.5","0.7","0.9","2.5","3.3","adamsst01"
"2","2014-15","21","OKC","NBA","C","70","67","25.3","3.1","5.7",".544","0.0","0.0",".000","3.1","5.7",".547",".544","1.5","2.9",".502","2.8","4.6","7.5","0.9","0.5","1.2","1.4","3.2","7.7","adamsst01"
"3","2015-16","22","OKC","NBA","C","80","80","25.2","3.3","5.3",".613","0.0","0.0","","3.3","5.3",".613",".613","1.4","2.5",".582","2.7","3.9","6.7","0.8","0.5","1.1","1.1","2.8","8.0","adamsst01"
"4","2016-17","23","OKC","NBA","C","47","47","30.3","5.0","8.5",".591","0.0","0.0",".000","5.0","8.4",".594",".591","2.1","3.0",".706","3.0","4.7","7.7","1.1","1.1","1.1","2.0","2.4","12.2","adamsst01"
"5","2008-09","20","CHA","NBA","PF","31","4","5.9","0.8","2.2",".362","0.0","0.1",".000","0.8","2.2",".373",".362","0.6","0.9",".714","0.3","0.7","1.0","0.1","0.2","0.2","0.4","1.1","2.3","ajincal01"
"6","2009-10","21","CHA","NBA","C","6","0","5.0","0.8","1.7",".500","0.0","0.0","","0.8","1.7",".500",".500","0.0","0.2",".000","0.2","0.5","0.7","0.0","0.2","0.2","0.3","0.8","1.7","ajincal01"
"7","2010-11","22","TOT","NBA","C","34","2","10.0","1.7","3.9",".444","0.4","1.0",".353","1.4","2.9",".475",".489","0.4","0.5",".722","0.5","1.8","2.3","0.3","0.3","0.6","0.5","2.1","4.2","ajincal01"
"8","2010-11","22","DAL","NBA","C","10","2","7.5","1.2","3.2",".375","0.3","0.7",".429","0.9","2.5",".360",".422","0.2","0.3",".667","0.5","1.2","1.7","0.2","0.3","0.5","0.1","1.3","2.9","ajincal01"
"9","2010-11","22","TOR","NBA","C","24","0","11.0","2.0","4.2",".465","0.4","1.1",".333","1.6","3.1",".514",".510","0.5","0.6",".733","0.5","2.0","2.5","0.3","0.3","0.6","0.7","2.5","4.8","ajincal01"
"10","2011-12","23","Did Not Play",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ajincal01"
"11","2012-13","24","Did Not Play",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ajincal01"
