"","per_game.Season","per_game.Age","per_game.Tm","per_game.Lg","per_game.Pos","per_game.G","per_game.GS","per_game.MP","per_game.FG","per_game.FGA","per_game.FG.","per_game.3P","per_game.3PA","per_game.3P.","per_game.2P","per_game.2PA","per_game.2P.","per_game.eFG.","per_game.FT","per_game.FTA","per_game.FT.","per_game.ORB","per_game.DRB","per_game.TRB","per_game.AST","per_game.STL","per_game.BLK","per_game.TOV","per_game.PF","per_game.PTS","player_id"
"1","2006-07","21","POR","NBA","C","63","22","22.1","3.8","7.6",".503","0.0","0.0",".000","3.8","7.6",".505",".503","1.3","1.8",".722","2.3","2.7","5.0","0.4","0.3","1.2","0.7","3.0","9.0","aldrila01"
"2","2007-08","22","POR","NBA","PF","76","76","34.9","7.4","15.3",".484","0.0","0.1",".143","7.4","15.2",".486",".484","3.0","3.9",".762","2.9","4.7","7.6","1.6","0.7","1.2","1.7","3.2","17.8","aldrila01"
"3","2008-09","23","POR","NBA","PF","81","81","37.1","7.4","15.3",".484","0.1","0.3",".250","7.3","15.0",".489",".486","3.2","4.1",".781","2.9","4.6","7.5","1.9","1.0","1.0","1.5","2.6","18.1","aldrila01"
"4","2009-10","24","POR","NBA","PF","78","78","37.5","7.4","15.0",".495","0.1","0.2",".313","7.4","14.8",".498",".497","2.9","3.9",".757","2.5","5.6","8.0","2.1","0.9","0.6","1.3","3.0","17.9","aldrila01"
"5","2010-11","25","POR","NBA","PF","81","81","39.6","8.7","17.5",".500","0.0","0.3",".174","8.7","17.2",".505",".501","4.3","5.5",".791","3.4","5.3","8.8","2.1","1.0","1.2","1.9","2.7","21.8","aldrila01"
"6","2011-12","26","POR","NBA","PF","55","55","36.3","8.8","17.1",".512","0.0","0.2",".182","8.7","16.9",".516",".513","4.1","5.0",".814","2.7","5.3","8.0","2.4","0.9","0.8","2.0","2.8","21.7","aldrila01"
"7","2012-13","27","POR","NBA","PF","74","74","37.7","8.6","17.8",".484","0.0","0.2",".143","8.6","17.6",".488",".485","3.8","4.7",".810","2.4","6.7","9.1","2.6","0.8","1.2","1.9","2.5","21.1","aldrila01"
"8","2013-14","28","POR","NBA","PF","69","69","36.2","9.4","20.6",".458","0.0","0.2",".200","9.4","20.4",".461",".459","4.3","5.2",".822","2.4","8.7","11.1","2.6","0.9","1.0","1.8","2.1","23.2","aldrila01"
"9","2014-15","29","POR","NBA","PF","71","71","35.4","9.3","19.9",".466","0.5","1.5",".352","8.8","18.5",".475",".479","4.3","5.1",".845","2.5","7.7","10.2","1.7","0.7","1.0","1.7","1.8","23.4","aldrila01"
"10","2015-16","30","SAS","NBA","PF","74","74","30.6","7.2","14.1",".513","0.0","0.2",".000","7.2","13.9",".521",".513","3.5","4.1",".858","2.4","6.2","8.5","1.5","0.5","1.1","1.3","2.0","18.0","aldrila01"
"11","2016-17","31","SAS","NBA","PF","44","44","32.3","6.9","14.1",".493","0.4","0.8",".457","6.6","13.3",".495",".506","3.4","4.2",".812","2.2","5.0","7.2","2.3","0.6","1.1","1.4","2.3","17.7","aldrila01"
"12","2011-12","22","PHI","NBA","PF","41","15","15.2","1.9","4.1",".473","0.0","0.0","","1.9","4.1",".473",".473","0.3","0.3",".786","1.1","3.0","4.2","0.8","0.3","0.4","0.5","1.8","4.1","allenla01"
"13","2012-13","23","PHI","NBA","C","79","37","21.1","2.6","5.7",".454","0.0","0.0",".000","2.6","5.7",".455",".454","0.5","0.8",".717","2.0","3.0","5.0","0.9","0.3","0.7","0.7","2.3","5.8","allenla01"
