"","per_game.Season","per_game.Age","per_game.Tm","per_game.Lg","per_game.Pos","per_game.G","per_game.GS","per_game.MP","per_game.FG","per_game.FGA","per_game.FG.","per_game.3P","per_game.3PA","per_game.3P.","per_game.2P","per_game.2PA","per_game.2P.","per_game.eFG.","per_game.FT","per_game.FTA","per_game.FT.","per_game.ORB","per_game.DRB","per_game.TRB","per_game.AST","per_game.STL","per_game.BLK","per_game.TOV","per_game.PF","per_game.PTS","player_id"
"1","2012-13","22","TOR","NBA","PF","29","0","11.8","1.4","2.6",".560","0.0","0.1",".500","1.4","2.5",".562",".567","1.1","1.3",".816","1.0","1.6","2.7","0.4","0.4","0.5","0.6","1.8","4.0","acyqu01"
"2","2013-14","23","TOT","NBA","SF","63","0","13.4","1.0","2.2",".468","0.1","0.2",".267","1.0","2.0",".492",".482","0.6","0.8",".660","1.1","2.3","3.4","0.4","0.4","0.4","0.5","1.9","2.7","acyqu01"
"3","2013-14","23","TOR","NBA","SF","7","0","8.7","0.9","2.0",".429","0.3","0.7",".400","0.6","1.3",".444",".500","0.7","1.1",".625","0.7","1.4","2.1","0.6","0.6","0.4","0.3","1.1","2.7","acyqu01"
"4","2013-14","23","SAC","NBA","SF","56","0","14.0","1.1","2.3",".472","0.0","0.2",".200","1.0","2.1",".496",".480","0.5","0.8",".667","1.2","2.4","3.6","0.4","0.3","0.4","0.5","2.0","2.7","acyqu01"
"5","2014-15","24","NYK","NBA","PF","68","22","18.9","2.2","4.9",".459","0.3","0.9",".300","2.0","4.0",".494",".486","1.1","1.4",".784","1.2","3.3","4.4","1.0","0.4","0.3","0.9","2.2","5.9","acyqu01"
"6","2015-16","25","SAC","NBA","PF","59","29","14.8","2.0","3.6",".556","0.3","0.8",".388","1.7","2.8",".606",".600","0.8","1.2",".735","1.1","2.1","3.2","0.5","0.5","0.4","0.5","1.7","5.2","acyqu01"
"7","2016-17","26","TOT","NBA","PF","16","0","10.5","1.8","3.6",".491","0.8","1.5",".500","1.0","2.1",".485",".596","0.9","1.1",".833","0.7","1.5","2.2","0.1","0.2","0.3","0.4","1.4","5.2","acyqu01"
"8","2016-17","26","DAL","NBA","PF","6","0","8.0","0.8","2.8",".294","0.2","1.2",".143","0.7","1.7",".400",".324","0.3","0.5",".667","0.3","1.0","1.3","0.0","0.0","0.0","0.3","1.5","2.2","acyqu01"
"9","2016-17","26","BRK","NBA","PF","10","0","12.0","2.3","4.0",".575","1.1","1.7",".647","1.2","2.3",".522",".713","1.3","1.5",".867","0.9","1.8","2.7","0.2","0.3","0.5","0.5","1.3","7.0","acyqu01"
"10","2010-11","20","LAC","NBA","SF","81","14","17.9","2.0","5.0",".394","0.6","1.8",".315","1.4","3.2",".437",".450","1.1","1.5",".773","0.9","2.4","3.3","0.7","0.7","0.3","1.3","1.5","5.6","aminual01"
"11","2011-12","21","NOH","NBA","SF","66","21","22.4","2.3","5.5",".411","0.2","0.7",".277","2.1","4.8",".431",".429","1.3","1.7",".754","1.4","3.2","4.7","1.0","0.9","0.5","1.4","2.1","6.0","aminual01"
"12","2012-13","22","NOH","NBA","SF","76","71","27.2","3.0","6.2",".475","0.1","0.3",".211","2.9","6.0",".486",".479","1.3","1.8",".737","1.8","5.9","7.7","1.4","1.2","0.7","1.5","2.0","7.3","aminual01"
"13","2013-14","23","NOP","NBA","SF","80","65","25.6","2.9","6.2",".474","0.2","0.6",".271","2.8","5.6",".496",".487","1.1","1.7",".664","1.6","4.6","6.2","1.4","1.0","0.5","1.1","1.8","7.2","aminual01"
"14","2014-15","24","DAL","NBA","SF","74","3","18.5","2.0","4.8",".412","0.5","1.7",".274","1.5","3.1",".485",".459","1.1","1.6",".712","1.5","3.1","4.6","0.8","0.9","0.8","0.7","1.9","5.6","aminual01"
"15","2015-16","25","POR","NBA","SF","82","82","28.5","3.6","8.8",".416","1.5","4.3",".361","2.1","4.5",".468",".503","1.4","1.9",".737","1.2","4.9","6.1","1.7","0.9","0.6","1.5","2.1","10.2","aminual01"
"16","2016-17","26","POR","NBA","SF","32","23","28.4","2.7","7.5",".354","0.9","3.3",".262","1.8","4.2",".429",".413","1.2","1.6",".712","1.1","6.0","7.1","2.2","1.0","0.7","1.5","1.8","7.3","aminual01"
"17","2008-09","20","NJN","NBA","PF","66","30","19.9","2.4","6.2",".393","1.0","2.9",".365","1.4","3.3",".417",".478","1.5","1.8",".845","1.6","3.1","4.7","0.8","0.7","0.3","1.0","2.4","7.4","anderry01"
"18","2009-10","21","ORL","NBA","PF","63","6","14.5","2.7","6.2",".436","1.2","3.3",".370","1.4","2.8",".514",".536","1.1","1.3",".866","1.1","2.1","3.2","0.6","0.4","0.2","0.9","1.3","7.7","anderry01"
"19","2010-11","22","ORL","NBA","PF","64","14","22.3","3.5","8.2",".430","2.1","5.3",".393","1.4","2.9",".500",".558","1.5","1.8",".812","2.0","3.5","5.5","0.8","0.5","0.6","0.8","2.1","10.6","anderry01"
"20","2011-12","23","ORL","NBA","PF","61","61","32.2","5.4","12.4",".439","2.7","6.9",".393","2.7","5.5",".496",".548","2.5","2.8",".877","3.7","4.0","7.7","0.9","0.8","0.4","0.9","2.4","16.1","anderry01"
"21","2012-13","24","NOH","NBA","PF","81","22","30.9","5.8","13.8",".423","2.6","6.9",".382","3.2","6.9",".464",".519","1.9","2.2",".844","2.4","4.0","6.4","1.2","0.5","0.4","1.2","2.2","16.2","anderry01"
"22","2013-14","25","NOP","NBA","PF","22","14","36.1","7.0","16.1",".438","3.0","7.5",".409","4.0","8.6",".463",".532","2.7","2.8",".952","3.0","3.5","6.5","0.8","0.5","0.3","0.9","2.1","19.8","anderry01"
"23","2014-15","26","NOP","NBA","PF","61","5","27.5","4.8","12.0",".399","2.0","5.9",".340","2.8","6.1",".457",".483","2.1","2.5",".854","1.8","3.1","4.8","0.9","0.5","0.3","1.0","1.9","13.7","anderry01"
"24","2015-16","27","NOP","NBA","PF","66","7","30.4","6.0","14.1",".427","2.0","5.4",".366","4.0","8.7",".466",".498","3.0","3.5",".873","2.0","4.0","6.0","1.1","0.6","0.4","1.4","1.7","17.0","anderry01"
"25","2016-17","28","HOU","NBA","PF","49","49","30.7","4.7","10.9",".431","2.8","6.9",".412","1.9","4.1",".462",".561","2.0","2.3",".874","1.6","3.5","5.2","0.9","0.6","0.2","0.9","2.0","14.2","anderry01"
"26","2003-04","19","DEN","NBA","SF","82","82","36.5","7.6","17.9",".426","0.8","2.6",".322","6.8","15.3",".444",".449","5.0","6.4",".777","2.2","3.8","6.1","2.8","1.2","0.5","3.0","2.7","21.0","anthoca01"
"27","2004-05","20","DEN","NBA","SF","75","75","34.8","7.1","16.4",".431","0.6","2.1",".266","6.5","14.3",".455",".448","6.1","7.6",".796","1.9","3.8","5.7","2.6","0.9","0.4","3.0","3.1","20.8","anthoca01"
"28","2005-06","21","DEN","NBA","SF","80","80","36.8","9.5","19.7",".481","0.5","1.9",".243","9.0","17.8",".506",".493","7.2","8.9",".808","1.5","3.4","4.9","2.7","1.1","0.5","2.7","2.9","26.5","anthoca01"
"29","2006-07","22","DEN","NBA","SF","65","65","38.2","10.6","22.4",".476","0.6","2.3",".268","10.0","20.1",".499",".489","7.1","8.7",".808","2.2","3.8","6.0","3.8","1.2","0.4","3.6","3.1","28.9","anthoca01"
"30","2007-08","23","DEN","NBA","SF","77","77","36.4","9.5","19.2",".492","0.8","2.1",".354","8.7","17.1",".509",".511","6.0","7.7",".786","2.3","5.1","7.4","3.4","1.3","0.5","3.3","3.3","25.7","anthoca01"
"31","2008-09","24","DEN","NBA","SF","66","66","34.5","8.1","18.3",".443","1.0","2.6",".371","7.2","15.7",".455",".469","5.6","7.1",".793","1.6","5.2","6.8","3.4","1.1","0.4","3.0","3.0","22.8","anthoca01"
"32","2009-10","25","DEN","NBA","SF","69","69","38.2","10.0","21.8",".458","0.9","2.7",".316","9.1","19.1",".478",".478","7.4","8.9",".830","2.2","4.4","6.6","3.2","1.3","0.4","3.0","3.3","28.2","anthoca01"
"33","2010-11","26","TOT","NBA","SF","77","77","35.7","8.9","19.5",".455","1.2","3.3",".378","7.6","16.3",".470",".487","6.6","7.9",".838","1.5","5.8","7.3","2.9","0.9","0.6","2.7","2.9","25.6","anthoca01"
"34","2010-11","26","DEN","NBA","SF","50","50","35.5","8.7","19.3",".452","0.8","2.5",".333","7.9","16.8",".470",".474","6.9","8.3",".823","1.5","6.1","7.6","2.8","0.9","0.6","2.8","2.7","25.2","anthoca01"
"35","2010-11","26","NYK","NBA","SF","27","27","36.2","9.1","19.9",".461","2.0","4.6",".424","7.2","15.2",".472",".510","6.1","7.0",".872","1.5","5.2","6.7","3.0","0.9","0.6","2.4","3.3","26.3","anthoca01"
"36","2011-12","27","NYK","NBA","SF","55","55","34.1","8.0","18.6",".430","1.2","3.7",".335","6.8","14.9",".454",".463","5.4","6.7",".804","1.6","4.7","6.3","3.6","1.1","0.4","2.6","2.8","22.6","anthoca01"
"37","2012-13","28","NYK","NBA","PF","67","67","37.0","10.0","22.2",".449","2.3","6.2",".379","7.6","16.0",".476",".502","6.3","7.6",".830","2.0","4.9","6.9","2.6","0.8","0.5","2.6","3.1","28.7","anthoca01"
