"","per_game.Season","per_game.Age","per_game.Tm","per_game.Lg","per_game.Pos","per_game.G","per_game.GS","per_game.MP","per_game.FG","per_game.FGA","per_game.FG.","per_game.3P","per_game.3PA","per_game.3P.","per_game.2P","per_game.2PA","per_game.2P.","per_game.eFG.","per_game.FT","per_game.FTA","per_game.FT.","per_game.ORB","per_game.DRB","per_game.TRB","per_game.AST","per_game.STL","per_game.BLK","per_game.TOV","per_game.PF","per_game.PTS","player_id"
"1","2007-08","22","DET","NBA","SG","75","9","12.9","1.3","3.2",".411","0.1","0.6",".208","1.2","2.6",".461",".432","0.9","1.2",".782","0.5","1.3","1.8","0.7","0.4","0.1","0.5","1.1","3.7","afflaar01"
"2","2008-09","23","DET","NBA","SG","74","8","16.7","1.8","4.1",".437","0.6","1.4",".402","1.2","2.6",".456",".508","0.8","1.0",".817","0.4","1.4","1.8","0.6","0.4","0.2","0.6","1.9","4.9","afflaar01"
"3","2009-10","24","DEN","NBA","SG","82","75","27.1","3.3","7.1",".465","1.3","3.0",".434","2.0","4.1",".488",".557","0.9","1.2",".735","0.7","2.4","3.1","1.7","0.6","0.4","0.9","2.7","8.8","afflaar01"
"4","2010-11","25","DEN","NBA","SG","69","69","33.7","4.5","9.1",".498","1.5","3.6",".423","3.0","5.5",".546",".581","2.0","2.4",".847","0.7","3.0","3.6","2.4","0.5","0.4","1.0","2.2","12.6","afflaar01"
"5","2011-12","26","DEN","NBA","SG","62","62","33.6","5.3","11.3",".471","1.4","3.6",".398","3.9","7.7",".504",".534","3.2","4.0",".798","0.6","2.5","3.2","2.4","0.6","0.2","1.4","2.2","15.2","afflaar01"
"6","2012-13","27","ORL","NBA","SF","64","64","36.0","6.2","14.1",".439","1.1","3.8",".300","5.1","10.4",".489",".478","3.0","3.5",".857","0.5","3.3","3.7","3.2","0.6","0.2","2.2","2.1","16.5","afflaar01"
"7","2013-14","28","ORL","NBA","SG","73","73","35.0","6.4","13.8",".459","1.8","4.1",".427","4.6","9.7",".473",".522","3.8","4.6",".815","0.4","3.2","3.6","3.4","0.5","0.0","2.0","1.9","18.2","afflaar01"
"8","2014-15","29","TOT","NBA","SG","78","72","32.1","4.8","11.3",".424","1.5","4.3",".354","3.3","7.1",".466",".491","2.1","2.5",".843","0.3","2.8","3.2","1.7","0.5","0.1","1.5","2.1","13.3","afflaar01"
"9","2014-15","29","DEN","NBA","SG","53","53","33.0","5.3","12.4",".428","1.5","4.6",".337","3.8","7.8",".481",".490","2.4","2.8",".841","0.4","3.0","3.4","1.9","0.6","0.1","1.6","2.0","14.5","afflaar01"
"10","2014-15","29","POR","NBA","SG","25","19","30.1","3.8","9.1",".414","1.4","3.6",".400","2.3","5.5",".423",".493","1.6","1.9",".851","0.2","2.4","2.7","1.1","0.4","0.1","1.3","2.4","10.6","afflaar01"
"11","2015-16","30","NYK","NBA","SG","71","57","33.4","5.0","11.3",".443","1.3","3.4",".382","3.7","7.9",".469",".500","1.5","1.8",".840","0.3","3.4","3.7","2.0","0.4","0.1","1.2","2.0","12.8","afflaar01"
"12","2016-17","31","SAC","NBA","SG","42","27","25.0","2.9","6.6",".433","1.0","2.6",".400","1.8","4.0",".455",".513","1.2","1.4",".895","0.2","1.8","2.0","1.2","0.3","0.1","0.7","1.8","8.0","afflaar01"
"13","2015-16","22","DAL","NBA","SF","55","9","11.8","1.3","3.2",".406","0.4","1.5",".265","0.9","1.7",".533",".469","0.8","1.0",".800","0.3","2.1","2.4","0.5","0.3","0.5","0.4","0.8","3.8","anderju01"
"14","2016-17","23","DAL","NBA","SF","44","2","14.9","2.3","5.8",".400","0.8","2.5",".313","1.5","3.3",".469",".469","1.5","1.9",".798","0.8","2.3","3.1","0.6","0.6","0.4","0.8","1.4","7.0","anderju01"
"15","2008-09","21","CHA","NBA","PG","72","12","26.5","3.7","8.6",".430","1.5","3.4",".439","2.2","5.2",".424",".517","2.9","3.2",".893","0.2","1.6","1.8","3.5","0.6","0.0","1.7","1.9","11.8","augusdj01"
"16","2009-10","22","CHA","NBA","PG","80","2","18.4","2.1","5.4",".386","0.9","2.2",".393","1.2","3.2",".381",".467","1.3","1.6",".779","0.1","1.1","1.2","2.4","0.6","0.1","0.9","1.6","6.4","augusdj01"
"17","2010-11","23","CHA","NBA","PG","82","82","33.6","4.9","11.7",".416","1.4","4.1",".333","3.5","7.6",".461",".474","3.3","3.6",".906","0.5","2.3","2.7","6.1","0.7","0.0","1.9","1.9","14.4","augusdj01"
"18","2011-12","24","CHA","NBA","PG","48","46","29.3","3.8","10.1",".376","1.3","3.7",".341","2.5","6.4",".396",".438","2.2","2.5",".875","0.5","1.8","2.3","6.4","0.8","0.0","2.3","1.4","11.1","augusdj01"
"19","2012-13","25","IND","NBA","PG","76","5","16.1","1.4","3.9",".350","0.9","2.5",".353","0.5","1.4",".346",".464","1.1","1.3",".838","0.3","0.9","1.2","2.2","0.4","0.0","0.9","0.8","4.7","augusdj01"
"20","2013-14","26","TOT","NBA","PG","71","9","27.3","4.2","10.1",".415","1.9","4.7",".401","2.3","5.4",".427",".508","2.8","3.2",".885","0.2","1.6","1.8","4.4","0.7","0.0","1.8","2.1","13.1","augusdj01"
"21","2013-14","26","TOR","NBA","PG","10","0","8.2","0.7","2.4",".292","0.1","1.1",".091","0.6","1.3",".462",".313","0.6","0.6","1.000","0.0","0.4","0.4","1.0","0.1","0.0","0.9","0.7","2.1","augusdj01"
"22","2013-14","26","CHI","NBA","PG","61","9","30.4","4.8","11.4",".419","2.2","5.3",".411","2.6","6.1",".426",".514","3.2","3.6",".882","0.2","1.8","2.1","5.0","0.9","0.0","1.9","2.3","14.9","augusdj01"
"23","2014-15","27","TOT","NBA","PG","82","14","24.0","3.1","7.9",".399","1.0","3.0",".337","2.1","4.9",".436",".463","2.2","2.5",".868","0.2","1.7","2.0","4.3","0.6","0.0","1.8","1.1","9.5","augusdj01"
"24","2014-15","27","DET","NBA","PG","54","13","23.8","3.5","8.5",".410","0.9","2.8",".327","2.6","5.8",".450",".463","2.7","3.1",".870","0.2","1.6","1.9","4.9","0.6","0.0","2.0","1.1","10.6","augusdj01"
"25","2014-15","27","OKC","NBA","PG","28","1","24.2","2.5","6.6",".371","1.2","3.4",".354","1.3","3.2",".389",".462","1.1","1.3",".861","0.3","1.9","2.2","3.1","0.6","0.0","1.3","1.1","7.3","augusdj01"
"26","2015-16","28","TOT","NBA","PG","62","0","19.0","2.4","5.6",".423","1.1","2.7",".405","1.3","2.9",".440",".520","1.7","2.1",".805","0.1","1.4","1.5","3.2","0.6","0.1","1.4","1.4","7.5","augusdj01"
"27","2015-16","28","OKC","NBA","PG","34","0","15.3","1.4","3.6",".380","0.7","1.8",".393","0.6","1.8",".367",".479","0.8","1.0",".765","0.1","1.1","1.3","1.9","0.4","0.1","0.9","1.2","4.2","augusdj01"
"28","2015-16","28","DEN","NBA","PG","28","0","23.5","3.6","8.2",".445","1.6","3.8",".411","2.1","4.4",".475",".541","2.8","3.4",".819","0.1","1.8","1.9","4.7","0.9","0.1","1.9","1.6","11.6","augusdj01"
