"","per_game.Season","per_game.Age","per_game.Tm","per_game.Lg","per_game.Pos","per_game.G","per_game.GS","per_game.MP","per_game.FG","per_game.FGA","per_game.FG.","per_game.3P","per_game.3PA","per_game.3P.","per_game.2P","per_game.2PA","per_game.2P.","per_game.eFG.","per_game.FT","per_game.FTA","per_game.FT.","per_game.ORB","per_game.DRB","per_game.TRB","per_game.AST","per_game.STL","per_game.BLK","per_game.TOV","per_game.PF","per_game.PTS","player_id"
"1","2016-17","23","OKC","NBA","SG","41","0","14.2","1.8","4.5",".393","1.2","3.2",".374","0.6","1.3",".442",".527","0.8","0.9",".865","0.3","0.9","1.1","0.5","0.4","0.1","0.5","1.5","5.5","abrinal01"
"2","2004-05","23","BOS","NBA","SG","77","34","16.4","2.4","5.0",".475","0.2","0.4",".387","2.2","4.6",".483",".491","1.5","2.0",".737","1.1","1.8","2.9","0.8","1.0","0.3","1.0","2.0","6.4","allento01"
"3","2005-06","24","BOS","NBA","PG","51","9","19.2","2.5","5.4",".471","0.2","0.7",".324","2.3","4.7",".492",".491","2.0","2.6",".746","0.6","1.5","2.2","1.3","1.0","0.4","1.3","2.5","7.2","allento01"
"4","2006-07","25","BOS","NBA","SG","33","18","24.4","4.0","7.8",".514","0.2","1.0",".242","3.8","6.8",".553",".529","3.2","4.1",".784","1.1","2.7","3.8","1.7","1.5","0.4","2.3","2.6","11.5","allento01"
"5","2007-08","26","BOS","NBA","SG","75","11","18.3","2.3","5.2",".434","0.2","0.8",".316","2.0","4.4",".455",".458","1.8","2.4",".762","0.5","1.8","2.2","1.5","0.8","0.3","1.5","2.2","6.6","allento01"
"6","2008-09","27","BOS","NBA","SG","46","2","19.3","3.0","6.2",".482","0.1","0.6",".222","2.8","5.6",".510",".493","1.7","2.4",".725","0.5","1.8","2.3","1.4","1.2","0.5","1.7","2.1","7.8","allento01"
"7","2009-10","28","BOS","NBA","SG","54","8","16.5","2.4","4.7",".510","0.0","0.1",".000","2.4","4.6",".520",".510","1.3","2.2",".605","1.0","1.7","2.7","1.3","1.1","0.4","1.2","2.0","6.1","allento01"
"8","2010-11","29","MEM","NBA","SG","72","31","20.8","3.5","6.8",".510","0.1","0.3",".174","3.4","6.5",".527",".514","1.9","2.5",".753","1.0","1.7","2.7","1.4","1.8","0.6","1.2","2.2","8.9","allento01"
"9","2011-12","30","MEM","NBA","SG","58","57","26.3","3.6","7.7",".469","0.1","0.4",".308","3.5","7.3",".479",".478","2.4","3.0",".800","1.7","2.3","4.0","1.4","1.8","0.6","1.6","2.4","9.8","allento01"
"10","2012-13","31","MEM","NBA","SG","79","79","26.7","3.6","8.1",".445","0.0","0.3",".125","3.6","7.8",".458",".447","1.7","2.4",".717","1.5","3.1","4.6","1.2","1.5","0.6","1.2","2.7","8.9","allento01"
"11","2013-14","32","MEM","NBA","SG","55","28","23.2","3.7","7.5",".494","0.2","0.9",".234","3.5","6.7",".527",".507","1.4","2.2",".628","1.4","2.3","3.8","1.7","1.6","0.3","1.6","2.2","9.0","allento01"
"12","2014-15","33","MEM","NBA","SG","63","41","26.2","3.6","7.2",".495","0.2","0.5",".345","3.4","6.8",".505",".505","1.3","2.0",".627","1.6","2.8","4.4","1.4","2.0","0.5","1.4","2.6","8.6","allento01"
"13","2015-16","34","MEM","NBA","SG","64","57","25.3","3.4","7.3",".458","0.2","0.7",".357","3.1","6.7",".468",".474","1.4","2.2",".652","1.6","3.0","4.6","1.1","1.7","0.3","1.2","2.7","8.4","allento01"
"14","2016-17","35","MEM","NBA","SG","43","41","28.1","4.0","8.6",".467","0.2","0.7",".233","3.8","7.9",".488",".477","1.3","2.0",".625","2.4","3.3","5.7","1.3","1.8","0.4","1.6","2.7","9.4","allento01"
"15","2005-06","23","CHA","NBA","SF","36","7","15.7","2.1","5.0",".414","0.7","1.6",".414","1.4","3.4",".415",".481","0.9","1.1",".805","0.6","1.3","1.9","0.9","0.3","0.1","0.9","1.3","5.8","anderal01"
"16","2006-07","24","CHA","NBA","SG","17","0","15.1","2.2","4.8",".457","0.3","1.2",".250","1.9","3.6",".525",".488","1.1","1.4",".826","0.6","1.2","1.9","1.2","0.4","0.0","1.3","1.9","5.8","anderal01"
"17","2007-08","25","Did Not Play (other pro league—Italy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"anderal01"
"18","2008-09","26","Did Not Play (other pro league—Russia, Croatia)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"anderal01"
"19","2009-10","27","Did Not Play (other pro league—Israel)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"anderal01"
"20","2010-11","28","Did Not Play (other pro league—D-League, Spain)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"anderal01"
"21","2011-12","29","TOR","NBA","SF","17","12","27.1","3.2","8.4",".387","1.4","3.6",".393","1.8","4.8",".383",".472","1.7","2.0",".853","0.5","1.5","2.0","1.5","0.3","0.2","1.5","2.1","9.6","anderal01"
"22","2012-13","30","TOR","NBA","SF","65","2","23.0","3.6","9.5",".383","1.5","4.4",".333","2.2","5.1",".426",".460","1.9","2.3",".857","0.5","1.8","2.3","1.6","0.7","0.1","1.2","2.0","10.7","anderal01"
"23","2013-14","31","BRK","NBA","SF","78","26","22.7","2.5","6.2",".400","1.1","3.2",".339","1.4","3.0",".464",".487","1.2","1.5",".780","0.5","1.7","2.2","1.0","0.6","0.1","0.8","1.9","7.2","anderal01"
"24","2014-15","32","BRK","NBA","SG","74","19","23.6","2.6","5.9",".443","1.0","2.8",".348","1.6","3.1",".530",".526","1.1","1.4",".812","0.4","2.3","2.8","1.1","0.8","0.1","0.8","2.0","7.4","anderal01"
"25","2015-16","33","WAS","NBA","SG","13","0","14.8","1.6","4.5",".356","0.9","2.8",".324","0.7","1.7",".409",".458","0.8","1.2",".733","0.1","2.0","2.1","1.1","0.3","0.1","0.2","1.9","5.0","anderal01"
"26","2016-17","34","LAC","NBA","SF","18","0","11.4","1.2","3.3",".356","0.6","1.7",".355","0.6","1.6",".357",".449","0.4","0.6",".700","0.2","0.7","0.9","0.5","0.2","0.0","0.3","1.2","3.3","anderal01"
"27","2014-15","21","SAS","NBA","SF","33","8","10.8","0.9","2.7",".348","0.1","0.3",".273","0.8","2.4",".359",".365","0.3","0.4",".643","0.2","2.0","2.2","0.8","0.5","0.2","0.3","0.8","2.2","anderky01"
"28","2015-16","22","SAS","NBA","SF","78","11","16.0","1.8","3.8",".468","0.2","0.5",".324","1.6","3.3",".488",".488","0.8","1.1",".747","0.3","2.8","3.1","1.6","0.8","0.4","0.8","1.2","4.5","anderky01"
"29","2016-17","23","SAS","NBA","SG","43","11","13.4","1.0","2.3",".439","0.2","0.5",".400","0.8","1.8",".449",".480","0.6","0.7",".867","0.4","2.2","2.6","1.0","0.7","0.4","0.5","0.8","2.8","anderky01"
"30","2013-14","19","MIL","NBA","SF","77","23","24.6","2.2","5.4",".414","0.5","1.5",".347","1.7","3.9",".440",".463","1.8","2.6",".683","1.0","3.4","4.4","1.9","0.8","0.8","1.6","2.2","6.8","antetgi01"
"31","2014-15","20","MIL","NBA","SG","81","71","31.4","4.7","9.6",".491","0.1","0.5",".159","4.6","9.1",".511",".496","3.2","4.3",".741","1.2","5.5","6.7","2.6","0.9","1.0","2.1","3.1","12.7","antetgi01"
"32","2015-16","21","MIL","NBA","PG","80","79","35.3","6.4","12.7",".506","0.4","1.4",".257","6.1","11.3",".537",".520","3.7","5.1",".724","1.4","6.2","7.7","4.3","1.2","1.4","2.6","3.2","16.9","antetgi01"
"33","2016-17","22","MIL","NBA","SG","46","46","35.2","8.5","16.2",".527","0.7","2.5",".291","7.8","13.7",".571",".550","5.5","7.1",".785","2.0","6.8","8.7","5.5","1.8","2.0","3.0","3.3","23.4","antetgi01"
