"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id","Shooting >> 3P%","Split"
"1","Total","278","214","6405","807","1409","0","4","397","680","700","1749","225","174","285","346","762","2011",".573",".584",".589","13.9","113","104","23.0","7.2","6.3","0.8","adamsst01",NA,NA
"2","Home","140","107","3257","397","691","0","1","216","350","342","891","108","99","159","180","377","1010",".575",".617",".598","13.7","114","102","23.3","7.2","6.4","0.8","adamsst01",NA,NA
"3","Road","138","107","3148","410","718","0","3","181","330","358","858","117","75","126","166","385","1001",".571",".548",".580","14.2","113","107","22.8","7.3","6.2","0.8","adamsst01",NA,NA
"4","Pre","204","151","4725","597","1056","0","3","310","504","504","1272","174","124","216","275","557","1504",".565",".615",".589","14.4","112","104","23.2","7.4","6.2","0.9","adamsst01",NA,NA
"5","Post","74","63","1680","210","353","0","1","87","176","196","477","51","50","69","71","205","507",".595",".494",".589","12.7","118","107","22.7","6.9","6.4","0.7","adamsst01",NA,NA
"6","Win","178","128","4021","520","912","0","2","237","415","441","1112","144","116","185","199","480","1277",".570",".571",".583","14.0","115","101","22.6","7.2","6.2","0.8","adamsst01",NA,NA
"7","Loss","100","86","2384","287","497","0","2","160","265","259","637","81","58","100","147","282","734",".577",".604",".598","13.9","110","111","23.8","7.3","6.4","0.8","adamsst01",NA,NA
"8","October","8","7","244","28","58","0","1","14","17","25","62","10","11","5","21","28","70",".483",".824",".535","14.8","96","101","30.6","8.8","7.8","1.3","adamsst01",NA,NA
"9","November","61","50","1506","179","333","0","0","95","155","145","385","47","34","79","79","170","453",".538",".613",".565","14.1","108","103","24.7","7.4","6.3","0.8","adamsst01",NA,NA
"10","December","62","45","1350","181","311","0","1","104","167","171","402","48","43","54","78","159","466",".582",".623",".606","15.1","117","103","21.8","7.5","6.5","0.8","adamsst01",NA,NA
