"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> 3P%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id","Split"
"1","Total","235","51","3521","407","818","54","150","207","274","257","817","136","95","92","141","447","1075",".498",".360",".755",".573","13.7","110","109","15.0","4.6","3.5","0.6","acyqu01",NA
"2","Home","114","27","1783","220","432","24","74","103","134","129","384","63","52","46","66","237","567",".509",".324",".769",".577","14.0","112","108","15.6","5.0","3.4","0.6","acyqu01",NA
"3","Road","121","24","1738","187","386","30","76","104","140","128","433","73","43","46","75","210","508",".484",".395",".743",".567","13.5","109","111","14.4","4.2","3.6","0.6","acyqu01",NA
"4","Pre","150","28","2105","239","467","30","69","114","151","169","511","79","52","56","81","275","622",".512",".435",".755",".583","13.2","113","110","14.0","4.1","3.4","0.5","acyqu01",NA
"5","Post","85","23","1416","168","351","24","81","93","123","88","306","57","43","36","60","172","453",".479",".296",".756",".559","14.6","107","108","16.7","5.3","3.6","0.7","acyqu01",NA
"6","Win","69","15","1026","115","216","13","35","62","83","80","247","42","29","29","40","130","305",".532",".371",".747",".604","12.9","118","101","14.9","4.4","3.6","0.6","acyqu01",NA
"7","Loss","166","36","2495","292","602","41","115","145","191","177","570","94","66","63","101","317","770",".485",".357",".759",".561","14.1","108","113","15.0","4.6","3.4","0.6","acyqu01",NA
"8","October","4","1","53","8","18","1","3","0","0","8","17","3","0","2","4","12","17",".444",".333",NA,".472","20.6","95","114","13.1","4.3","4.3","0.8","acyqu01",NA
"9","November","35","11","528","42","97","4","15","32","45","35","117","24","11","7","23","60","120",".433",".267",".711",".514","12.1","101","110","15.1","3.4","3.3","0.7","acyqu01",NA
"10","December","33","9","467","58","102","4","9","22","27","28","106","19","10","12","19","54","142",".569",".444",".815",".623","12.8","115","111","14.2","4.3","3.2","0.6","acyqu01",NA
"11","January","60","7","849","108","198","18","34","54","71","70","208","24","22","29","31","122","288",".545",".529",".761",".628","13.7","119","111","14.1","4.8","3.5","0.4","acyqu01",NA
"12","February","32","5","423","47","106","5","17","13","18","42","106","16","17","12","17","55","112",".443",".294",".722",".492","13.5","102","108","13.2","3.5","3.3","0.5","acyqu01",NA
"13","March","41","15","628","66","141","10","39","41","53","36","138","23","20","15","22","81","183",".468",".256",".774",".557","13.1","108","108","15.3","4.5","3.4","0.6","acyqu01",NA
"14","April","30","3","573","78","156","12","33","45","60","38","125","27","15","15","25","63","213",".500",".364",".750",".584","16.3","113","107","19.1","7.1","4.2","0.9","acyqu01",NA
"15","Sunday","33","10","532","52","116","6","17","21","25","34","122","26","22","9","19","71","131",".448",".353",".840",".516","12.4","106","105","16.1","4.0","3.7","0.8","acyqu01",NA
"16","Monday","24","6","370","42","81","7","20","20","26","43","94","19","17","11","13","42","111",".519",".350",".769",".600","12.5","122","107","15.4","4.6","3.9","0.8","acyqu01",NA
"17","Tuesday","26","4","348","41","81","5","13","21","31","27","78","8","10","14","16","38","108",".506",".385",".677",".571","14.4","107","112","13.4","4.2","3.0","0.3","acyqu01",NA
"18","Wednesday","53","12","794","91","176","8","31","45","64","43","169","24","14","15","34","107","235",".517",".258",".703",".576","13.4","106","112","15.0","4.4","3.2","0.5","acyqu01",NA
"19","Thursday","16","4","274","39","73","2","9","15","22","22","66","12","3","6","14","32","95",".534",".222",".682",".575","15.7","109","111","17.2","5.9","4.1","0.8","acyqu01",NA
"20","Friday","49","9","713","73","165","10","31","55","71","55","170","24","17","22","30","99","211",".442",".323",".775",".538","14.3","105","109","14.6","4.3","3.5","0.5","acyqu01",NA
"21","Saturday","34","6","489","69","126","16","29","30","35","33","118","23","12","15","15","58","184",".548",".552",".857",".651","14.3","125","110","14.4","5.4","3.5","0.7","acyqu01",NA
"22","Starter","51","51","1073","122","227","11","30","53","67","56","220","50","24","20","38","118","308",".537",".367",".791",".600","12.3","114","109","21.0","6.0","4.3","1.0","acyqu01",NA
"23","Reserve","184","0","2448","285","591","43","120","154","207","201","597","86","71","72","103","329","767",".482",".358",".744",".562","14.4","109","109","13.3","4.2","3.2","0.5","acyqu01",NA
"24","30-39","11","7","351","43","75","4","8","23","33","16","80","17","8","6","12","32","113",".573",".500",".697",".631","13.1","119","108","31.9","10.3","7.3","1.5","acyqu01",NA
"25","20-29","54","21","1271","157","318","20","56","78","104","100","302","54","33","29","53","143","412",".494",".357",".750",".566","14.7","111","110","23.5","7.6","5.6","1.0","acyqu01",NA
"26","10-19","104","21","1561","168","336","25","69","72","90","117","363","53","37","49","63","215","433",".500",".362",".800",".576","12.5","110","110","15.0","4.2","3.5","0.5","acyqu01",NA
"27","0-9","66","2","337","39","89","5","17","34","47","24","72","12","17","8","13","57","117",".438",".294",".723",".533","16.3","105","107","5.1","1.8","1.1","0.2","acyqu01",NA
"28","0 Days","43","9","687","85","161","14","32","41","53","44","173","30","17","18","22","93","225",".528",".438",".774",".610","13.7","117","110","16.0","5.2","4.0","0.7","acyqu01",NA
"29","1 Day","115","32","1836","208","418","25","74","110","145","142","416","72","51","42","74","229","551",".498",".338",".759",".572","13.5","111","109","16.0","4.8","3.6","0.6","acyqu01",NA
"30","2 Days","28","6","460","58","114","8","19","30","38","29","98","18","12","10","20","51","154",".509",".421",".789",".589","14.8","112","109","16.4","5.5","3.5","0.6","acyqu01",NA
"31","3+ Days","44","4","490","50","113","5","21","25","36","39","121","13","15","21","23","66","130",".442",".238",".694",".505","13.9","97","109","11.1","3.0","2.8","0.3","acyqu01",NA
"32","Eastern","118","20","1750","208","417","22","66","109","135","126","393","81","46","44","73","233","547",".499",".333",".807",".574","14.3","111","107","14.8","4.6","3.3","0.7","acyqu01",NA
"33","Western","117","31","1771","199","401","32","84","98","139","131","424","55","49","48","68","214","528",".496",".381",".705",".571","13.1","110","111","15.1","4.5","3.6","0.5","acyqu01",NA
"34","Atlantic","37","5","518","51","115","3","14","32","44","37","102","25","16","10","20","64","137",".443",".214",".727",".510","13.6","103","109","14.0","3.7","2.8","0.7","acyqu01",NA
"35","Central","40","7","666","86","178","5","24","52","61","56","162","36","19","18","26","95","229",".483",".208",".852",".559","15.8","114","108","16.6","5.7","4.1","0.9","acyqu01",NA
"36","Northwest","41","12","650","67","141","11","29","29","39","46","145","22","18","17","26","76","174",".475",".379",".744",".550","12.5","107","111","15.8","4.2","3.5","0.5","acyqu01",NA
"37","Pacific","29","6","409","50","103","7","21","30","42","35","95","12","11","17","22","55","137",".485",".333",".714",".564","15.0","105","112","14.1","4.7","3.3","0.4","acyqu01",NA
"38","Southeast","41","8","567","71","124","14","28","25","30","33","129","20","11","16","27","74","181",".573",".500",".833",".660","13.3","114","106","13.8","4.4","3.1","0.5","acyqu01",NA
"39","Southwest","47","13","712","82","157","14","34","39","58","50","184","21","20","14","20","83","217",".522",".412",".672",".594","12.6","116","111","15.1","4.6","3.9","0.4","acyqu01",NA
