"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> 3P%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id","Split"
"1","Total","690","516","19619","2853","6328","807","2094","1326","1611","329","2067","1328","330","131","817","1395","7839",".451",".385",".823",".557","18.2","108","112","28.4","11.4","3.0","1.9","afflaar01",NA
"2","Home","348","257","9880","1454","3184","411","1047","730","902","175","1071","684","169","73","415","716","4049",".457",".393",".809",".565","18.3","110","111","28.4","11.6","3.1","2.0","afflaar01",NA
"3","Road","342","259","9740","1399","3144","396","1047","596","709","154","996","644","161","58","402","679","3790",".445",".378",".841",".548","18.1","107","113","28.5","11.1","2.9","1.9","afflaar01",NA
"4","Pre","479","361","13702","1999","4431","573","1487","942","1142","228","1432","901","249","96","577","978","5513",".451",".385",".825",".559","18.3","108","112","28.6","11.5","3.0","1.9","afflaar01",NA
"5","Post","211","155","5918","854","1897","234","607","384","469","101","635","427","81","35","240","417","2326",".450",".386",".819",".553","18.0","109","112","28.0","11.0","3.0","2.0","afflaar01",NA
"6","Win","337","231","9266","1406","2892","422","938","638","783","175","1035","657","175","63","347","652","3872",".486",".450",".815",".598","17.5","117","106","27.5","11.5","3.1","1.9","afflaar01",NA
"7","Loss","353","285","10353","1447","3436","385","1156","688","828","154","1032","671","155","68","470","743","3967",".421",".333",".831",".522","18.8","101","117","29.3","11.2","2.9","1.9","afflaar01",NA
"8","October","13","10","386","47","107","16","36","21","27","4","33","24","11","3","9","27","131",".439",".444",".778",".551","14.3","112","106","29.7","10.1","2.5","1.8","afflaar01",NA
"9","November","124","91","3386","522","1129","140","360","235","280","45","393","244","50","25","139","231","1419",".462",".389",".839",".567","18.6","110","111","27.3","11.4","3.2","2.0","afflaar01",NA
"10","December","133","97","3797","580","1266","143","419","248","300","67","415","237","75","24","161","270","1551",".458",".341",".827",".555","18.6","107","110","28.5","11.7","3.1","1.8","afflaar01",NA
