"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> 3P%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id"
"1","Total","41","0","581","72","183","49","131","32","37","11","46","20","18","5","22","61","225",".393",".374",".865",".565","16.5","107","112","14.2","5.5","1.1","0.5","abrinal01"
"2","Home","18","0","253","32","78","19","55","15","16","2","17","8","10","1","7","25","98",".410",".345",".938",".576","15.8","110","108","14.0","5.4","0.9","0.4","abrinal01"
"3","Road","23","0","329","40","105","30","76","17","21","9","29","12","8","4","15","36","127",".381",".395",".810",".556","17.0","105","115","14.3","5.5","1.3","0.5","abrinal01"
"4","Pre","41","0","581","72","183","49","131","32","37","11","46","20","18","5","22","61","225",".393",".374",".865",".565","16.5","107","112","14.2","5.5","1.1","0.5","abrinal01"
"5","Win","22","0","323","46","98","36","75","18","20","6","26","12","11","4","12","36","146",".469",".480",".900",".684","16.0","124","106","14.7","6.6","1.2","0.5","abrinal01"
"6","Loss","19","0","258","26","85","13","56","14","17","5","20","8","7","1","10","25","79",".306",".232",".824",".427","17.1","87","121","13.6","4.2","1.1","0.4","abrinal01"
"7","October","2","0","15","2","3","1","1","3","3","0","1","0","1","0","2","3","8",".667","1.000","1.000",".926","17.0","118","95","7.6","4.0","0.5","0.0","abrinal01"
"8","November","14","0","186","21","62","11","43","7","8","2","14","7","4","1","11","11","60",".339",".256",".875",".458","17.6","82","111","13.3","4.3","1.0","0.5","abrinal01"
"9","December","11","0","168","27","67","22","53","8","9","6","17","3","5","2","4","18","84",".403",".415",".889",".592","19.6","120","115","15.3","7.6","1.5","0.3","abrinal01"
"10","January","14","0","212","22","51","15","34","14","17","3","14","10","8","2","5","29","73",".431",".441",".824",".624","13.0","121","112","15.1","5.2","1.0","0.7","abrinal01"
"11","Sunday","7","0","94","14","32","7","20","8","9","1","8","3","4","0","4","12","43",".438",".350",".889",".598","17.5","114","113","13.4","6.1","1.1","0.4","abrinal01"
"12","Monday","7","0","111","13","44","7","29","6","7","2","9","5","4","1","5","13","39",".295",".241",".857",".414","21.1","85","108","15.9","5.6","1.3","0.7","abrinal01"
"13","Tuesday","3","0","43","7","18","5","13","0","0","1","4","2","0","2","0","5","19",".389",".385",NA,".528","17.8","122","111","14.2","6.3","1.3","0.7","abrinal01"
"14","Wednesday","11","0","147","22","40","18","32","3","4","0","6","2","6","1","8","16","65",".550",".563",".750",".778","14.6","119","111","13.4","5.9","0.5","0.2","abrinal01"
"15","Thursday","4","0","79","5","22","4","18","9","10","4","8","2","0","0","2","2","23",".227",".222",".900",".436","15.6","103","128","19.8","5.8","2.0","0.5","abrinal01"
"16","Friday","4","0","45","6","15","3","9","1","2","2","5","1","0","0","3","6","16",".400",".333",".500",".504","17.5","95","112","11.4","4.0","1.3","0.3","abrinal01"
"17","Saturday","5","0","62","5","12","5","10","5","5","1","6","5","4","1","0","7","20",".417",".500","1.000",".704","10.2","139","101","12.4","4.0","1.2","1.0","abrinal01"
"18","Reserve","41","0","581","72","183","49","131","32","37","11","46","20","18","5","22","61","225",".393",".374",".865",".565","16.5","107","112","14.2","5.5","1.1","0.5","abrinal01"
"19","20-29","7","0","165","26","66","18","49","6","7","3","13","2","5","1","6","14","76",".394",".367",".857",".550","19.6","109","115","23.6","10.9","1.9","0.3","abrinal01"
"20","10-19","23","0","364","40","103","26","72","23","27","6","31","15","12","3","11","42","129",".388",".361",".852",".561","15.0","108","111","15.8","5.6","1.3","0.7","abrinal01"
"21","0-9","11","0","52","6","14","5","10","3","3","2","2","3","1","1","5","5","20",".429",".500","1.000",".653","17.0","90","111","4.7","1.8","0.2","0.3","abrinal01"
"22","0 Days","7","0","90","6","26","4","20","9","11","2","6","4","1","0","3","8","25",".231",".200",".818",".405","16.4","87","122","12.9","3.6","0.9","0.6","abrinal01"
"23","1 Day","26","0","428","61","145","41","101","20","23","8","37","15","16","5","15","46","183",".421",".406",".870",".590","17.2","113","111","16.5","7.0","1.4","0.6","abrinal01"
"24","2 Days","4","0","29","2","5","2","5","0","0","1","1","1","0","0","2","1","6",".400",".400",NA,".600","10.3","74","108","7.2","1.5","0.3","0.3","abrinal01"
"25","3+ Days","3","0","20","2","5","1","4","3","3","0","1","0","1","0","0","3","8",".400",".250","1.000",".633","13.6","131","103","6.8","2.7","0.3","0.0","abrinal01"
